KOD;MARKA;BIEZNIK;SZEROKOSC;PROFIL;SREDNICA;NOSNOSC;PREDKOSC;OŚ;PRZEZNACZENIE;SEZON;TYP;NAZWA
"572912";"Goodyear";"KMAX T";"235";"75";"R17.5";"143/144";"J";"NACZEPA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 235/75R17.5 KMAX T 143J/144F M+S 3PMSF GOODYEAR /WLECZONA- REGIONALNY/ #"
"05111370000";"Barum";"BF200R";"315";"60";"R22.5";"152/148";"L";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 315/60R22.5 BF200R 152/148L M+S BARUM /KIEROWANA/ #"
"719814";"Michelin";"X MULTI Z";"315";"70";"R22.5";"156/150";"L";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 X MULTI Z 156/150 M+S 3PMSF MICHELIN /KIEROWANA/ #"
"385/55R19.5RR905";"DOUBLE COIN";"RR905";"385";"55";"R19.5";"156";"J";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 385/55R19.5 RR905 156J M+S DOUBLE COIN /WLECZONA 4R / #"
"05223600000";"Continental";"Conti Coach HA3";"295";"80";"R22.5";"154/149";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 295/80R22.5 Conti Coach HA3 154/149M M+S 3PMSF CONTINENTAL /KIEROWANA/"
"572691";"Goodyear";"RHS II";"245";"70";"R19.5";"136/134";"M";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 245/70R19.5 REGIONAL RHS II 136/134M M+S 3PMSF GOODYEAR /KIEROWANA- REGIONALNY/ [W]"
"572102";"Goodyear";"KMAX S";"295";"80";"R22.5";"154/149";"M";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 295/80R22.5 KMAX S HL 154/149M M+S 3PMSF GOODYEAR /KIEROWANA- REGIONALNY/"
"05221980000";"Barum";"BD 200 R";"315";"80";"R22.5";"156/150";"L";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 BD200R 156/150L M+S 3PMSF BARUM /NAPĘDOWA/"
"573121";"Sava";"ORJAK 4";"215";"75";"R17.5";"126/124";"M";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 215/75R17.5 ORJAK 4 TL 126/124M SAVA M+S 3PMSF /NAPĘDOWA/"
"3002379";"Hankook";"AL22";"295";"80";"R22.5";"154/149";"M";"STERUJĄCA";"";"Letnie";"Ciężarowe";"Opona 295/80R22.5 AL22 COACH 154/149M M+S 3PMSF HANKOOK /KIEROWANA/"
"8859305514529";"Goodride";"MD777";"315";"80";"R22.5";"154/151";"L";"NAPĘD";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 MD777 M+S 154/151L GOODRIDE /NAPĘDOWA BUDOWLANA/"
"315/60R22.5ENERGYDREMIX";"Michelin Remix";"X LINE ENERGY D";"315";"60";"R22.5";"152/148";"L";"NAPĘD";"DALEKI";"Całoroczne";"Ciężarowe";"Opona 315/60R22.5 X LINE ENERGY D 152/148L M+S 3PMSF MICHELIN REMIX /NAPĘDOWA - DALEKI/"
"211012082";"Benchmark";"LLA08";"315";"80";"R22.5";"156/150";"L";"STERUJĄCA";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 LLA08 156/150 M+S 3PMSF BENCHMARK /KIEROWANA BUDOWLANA 3R/"
"2155900";"Pirelli";"FH01 ENERGY";"295";"80";"R22.5";"152/148";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 295/80R22.5 FH01 ENERGY 152/148M PIRELLI /KIEROWANA/"
"573568";"Goodyear";"MARATHON LHT+";"455";"40";"R22.5";"160";"J";"NACZEPA";"DALEKI";"Całoroczne";"Ciężarowe";"Opona 455/40R22.5 LHT+ UN TL 160J GOODYEAR /WLECZONA - DALEKI/"
"05250780000";"Continental";"Conti CrossTrac HD3";"315";"80";"R22.5";"156/150";"K";"NAPĘD";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 Conti CrossTrac HD3 156/150K M+S 3PMSF CONTINENTAL /NAPĘDOWA BUDOWLANA/ #"
"8859305514208";"Goodride";"GTX1";"245";"70";"R17.5";"143/141";"J";"NACZEPA";"";"Letnie";"Ciężarowe";"Opona 245/70R17.5 GTX1 M+S 143/141J GOODRIDE /WLECZONA/"
"2527900";"Pirelli";"ST:01";"235";"75";"R17.5";"143";"J";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 235/75R17.5 ST:01 TL 143J M+S 3PMSF PIRELLI /WLECZONA / #"
"385/65R22.5AL10+";"Hankook";"AL10+";"385";"65";"R22.5";"160";"K";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 385/65R22.5 AL10+ 160K HANKOOK /KIEROWANA/ #"
"3102300";"Pirelli";"FH01+ COACH";"295";"80";"R22.5";"154/149";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 295/80R22.5 FH01+ COACH 154/149M PIRELLI /KIEROWANA/"
"05111840000";"Continental";"Conti EcoPlus HS3";"315";"70";"R22.5";"156/150";"L";"STERUJĄCA";"DALEKI";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 Conti EcoPlus HS3 156/150L (154/150M) M+S 3PMSF CONTINENTAL /KIEROWANA- DALEKI/"
"05124680000";"Barum";"BF 200R";"315";"70";"R22.5";"156/150";"L";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 BF200R 156/150L M+S 3PMSF BARUM /KIEROWANA/ #"
"05153280000";"Continental";"Conti CrossTrac HS3";"385";"65";"R22.5";"160";"K";"STERUJĄCA";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 385/65R22.5 Conti CrossTrac HS3 160K (158L) M+S 3PMSF CONTINENTAL /KIEROWANA BUDOWLANA/ #"
"818714";"Michelin";"WORKS HD Z";"315";"80";"R22.5";"156/150";"K";"STERUJĄCA";"";"Letnie";"Ciężarowe";"Opona 315/80R22.5 X WORKS HD Z 156/150K M+S MICHELIN /KIEROWANA- BUDOWLANY/ #"
"425/65R22.593120PR";"Goodride";"CR931";"425";"65";"R22.5";"165";"K";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 425/65R22.5 CR931 M+S 165K GOODRIDE /WLECZONA/ 6R"
"445/65R22.5AT55720PR";"Goodride";"AT557";"445";"65";"R22.5";"169";"K";"NACZEPA";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 445/65R22.5 AT557 169K M+S 3PMSF GOODRIDE /WLECZONA , KIEROWANA BUDOWLANA/"
"04121050000";"Continental";"Conti Hybrid LS3";"245";"70";"R17.5";"136/134";"M";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 245/70R17.5 Conti Hybrid LS3 136/134M M+S 3PMSF CONTINENTAL /KIEROWANA- REGIONALNY/"
"315/70R22.5XMULTIDREMIX";"Michelin Remix";"X MULTI D";"315";"70";"R22.5";"154/150";"L";"NAPĘD";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 X MULTI D 154/150L M+S 3PMSF MICHELIN REMIX /NAPĘDOWA - REGIONALNY/ #"
"331025";"Falken";"BI 851";"315";"80";"R22.5";"156/150";"L";"NAPĘD";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 BI 851 156/150L (154/150M) M+S 3PMSF FALKEN /NAPĘDOWA- REGIONALNY/ #"
"335296";"Falken";"RI 151";"385";"55";"R22.5";"160";"K";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 385/55R22.5 RI 151 160K M+S 3PMSF FALKEN /KIEROWANA, WLECZONA 4R/"
"572798";"Goodyear";"KMAX S G2 HL";"315";"70";"R22.5";"156/150";"L";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 KMAX S GEN -2 HL 156/150L M+S 3PMSF GOODYEAR/KIEROWANA-REGIONALNY/ #"
"315/60R22.5CR96618PRTRANZANO";"Tranzano";"CR966";"315";"60";"R22.5";"152/148";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 315/60R22.5 CR966 TL 18PR 152/148M TRANZANO /KIEROWANA/"
"235/75R17.5GDR+1";"Goodride";"GDR+1";"235";"75";"R17.5";"132/130";"M";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 235/75R17.5 GDR+1 M+S 3PMSF 132/130M GOODRIDE /NAPĘDOWA/"
"3003259";"Hankook";"TL20";"385";"65";"R22.5";"160";"K";"NACZEPA";"";"Całoroczne";"Ciężarowe";"Opona 385/65R22.5 TL20 160K HANKOOK /WLECZONA 4R /"
"577415";"Sava";"AVANT 4";"215";"75";"R17.5";"126/124";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 215/75R17.5 AVANT 4 126/124M M+S 3PMSF SAVA /KIEROWANA/"
"572812";"Goodyear";"KMAX D GEN-2";"315";"70";"R22.5";"154/152";"L";"NAPĘD";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 KMAX D GEN-2 154L152M M+S 3PMSF GOODYEAR/NAPĘDOWA-REGIONALNY/ #"
"569565";"Goodyear";"OMNITRAC D";"315";"80";"R22.5";"156/150";"K";"NAPĘD";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 OMNITRAC D M+S 3PSF 156/150K GOODYEAR /NAPĘDOWA BUDOWLANA/ #"
