KOD;MARKA;BIEZNIK;SZEROKOSC;PROFIL;SREDNICA;NOSNOSC;PREDKOSC;OŚ;PRZEZNACZENIE;SEZON;TYP;NAZWA
"3803";"Bridgestone";"M749 ECOPIA";"295";"80";"R22.5";"152/148M";"M";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 295/80R22.5 M749 ECOPIA 152/148M M+S BRIDGESTONE DOT 2011 /NAPĘDOWA/"
"570993";"Sava";"ORJAK 4 PLUS";"295";"80";"R22.5";"152/148";"M";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 295/80R22.5 ORJAK 4 PLUS TL 152/148M M+S 3PMSF SAVA /NAPĘDOWA/"
"315/60R22.5CM335";"Goodride";"CM335";"315";"60";"R22.5";"152/148";"M";"NAPĘD";"";"Całoroczne";"Ciężarowe";"Opona 315/60R22.5 CM335 M+S 3PMSF 152/148M GOODRIDE /NAPĘDOWA/"
"7849";"Firestone";"FS 422";"315";"70";"R22.5";"152M/154L";"";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 FS422+ 152M/154L M+S 3PMSF FIRESTONE /KIEROWANA- REGIONALNY/"
"4353";"Bridgestone";"M729";"315";"70";"R22.5";"152/154L";"L";"NAPĘD";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 M729 152/154L M+S 3PMSF BRIDGESTONE /NAPĘDOWA-REGIONALNY/"
"568888";"Dunlop";"SP346 HL";"315";"70";"R22.5";"156/150";"L";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 315/70R22.5 SP346 HL TL 156/150L M+S 3PMSF DUNLOP /KIEROWANA/ #"
"571100";"Sava";"AVANT MS2 PLUS";"315";"80";"R22.5";"156/150";"K";"STERUJĄCA";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 AVANT MS2 PLUS TL M+S 156/150K SAVA /KIEROWANA BUDOWLANA/"
"315/80R22.5CR926B18PR";"Goodride";"CR926B";"315";"80";"R22.5";"154/151 (156/150)";"M";"STERUJĄCA";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 CR926B 154/151M (156/150L) GOODRIDE /KIEROWANA BUDOWLANA/"
"6746";"Firestone";"FS422+";"315";"80";"R22.5";"154M/156L";"L";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 FS422+ 154M/156L M+S 3PMSF FIRESTONE /KIEROWANA- REGIONALNY/"
"79495";"Bridgestone";"L355";"315";"80";"R22.5";"156/154";"K";"NAPĘD";"BUDOWLANA";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 L355 EVO 156/154K M+S 3PMSF BRIDGESTONE /NAPĘDOWA BUDOWLANA/ #"
"1250";"Bridgestone";"M840";"315";"80";"R22.5";"156/150K";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 M840 156/150K M+S BRIDGESTONE / KIEROWANA/ #"
"568900";"Dunlop";"SP346";"315";"80";"R22.5";"156/154";"M";"STERUJĄCA";"";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 SP346 TL 156L/154M M+S 3PMSF DUNLOP /KIEROWANA/ #"
"942658";"Michelin";"X MULTIWAY 3D XZE";"315";"80";"R22.5";"156/150";"L";"STERUJĄCA";"REGIONALNY";"Całoroczne";"Ciężarowe";"Opona 315/80R22.5 X MULTIWAY 3D XZE 156/150L M+S 3PMSF MICHELIN /KIEROWANA- REGIONALNY/ #"
